,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active,New
27786,Kentucky,US,37.6681,-84.6701,2020-03-20,47,2,0,45,10
27787,District of Columbia,US,38.8974,-77.0268,2020-03-20,71,1,0,70,31
27788,Nevada,US,38.3135,-117.0554,2020-03-20,114,1,0,113,19
27789,New Hampshire,US,43.4525,-71.5639,2020-03-20,44,0,0,44,0
27790,Minnesota,US,45.6945,-93.9002,2020-03-20,115,0,0,115,26
27791,Nebraska,US,41.1254,-98.2681,2020-03-20,37,0,0,37,8
27792,Ohio,US,40.3888,-82.7649,2020-03-20,173,2,0,171,54
27793,Rhode Island,US,41.6809,-71.5118,2020-03-20,54,0,0,54,10
27794,Wisconsin,US,44.2685,-89.6165,2020-03-20,207,3,0,204,48
27795,Connecticut,US,41.5978,-72.7554,2020-03-20,194,3,0,191,35
27796,Hawaii,US,21.0943,-157.4983,2020-03-20,26,0,0,26,10
27797,Oklahoma,US,35.5653,-96.9289,2020-03-20,49,1,0,48,5
27798,Utah,US,40.15,-111.8624,2020-03-20,78,0,0,78,-2
27799,Ouagadougou,Burkina Faso,12.2383,-1.5616,2020-03-20,40,1,0,39,7
27800,TBF,Holy See,41.9029,12.4534,2020-03-20,1,0,0,1,0
27801,Ulaanbaatar,Mongolia,46.8625,103.8467,2020-03-20,6,0,0,6,0
27802,Panama City,Panama,8.538,-80.7821,2020-03-20,137,1,0,136,28
27803,Kansas,US,38.5266,-96.7265,2020-03-20,44,1,0,43,10
27804,Louisiana,US,31.1695,-91.8678,2020-03-20,538,14,0,524,146
27805,Missouri,US,38.4561,-92.2884,2020-03-20,53,2,0,51,22
27806,Vermont,US,44.0459,-72.7107,2020-03-20,29,2,0,27,7
27807,Alaska,US,61.3707,-152.4044,2020-03-20,12,0,0,12,3
27808,Arkansas,US,34.9697,-92.3731,2020-03-20,96,0,0,96,34
27809,Delaware,US,39.3185,-75.5071,2020-03-20,38,0,0,38,8
27810,Idaho,US,44.2405,-114.4788,2020-03-20,23,0,0,23,12
27811,Maine,US,44.6939,-69.3819,2020-03-20,56,0,0,56,4
27812,Michigan,US,43.3266,-84.5361,2020-03-20,552,3,0,549,218
27813,Mississippi,US,32.7416,-89.6787,2020-03-20,80,1,0,79,30
27814,Montana,US,46.9219,-110.4544,2020-03-20,15,0,0,15,4
27815,New Mexico,US,34.8405,-106.2485,2020-03-20,43,0,0,43,8
27816,North Dakota,US,47.5289,-99.78399999999999,2020-03-20,19,0,0,19,1
27817,South Dakota,US,44.2998,-99.4388,2020-03-20,14,1,0,13,3
27818,West Virginia,US,38.4912,-80.9545,2020-03-20,7,0,0,7,5
27819,Wyoming,US,42.756,-107.3025,2020-03-20,19,0,0,19,1
27820,Hubei,China,30.9756,112.2707,2020-03-20,67800,3133,58382,6285,0
27821,Tehran,Iran,32.0,53.0,2020-03-20,19644,1433,6745,11466,1237
27822,TBF,"Korea, South",36.0,128.0,2020-03-20,8652,94,1540,7018,87
27823,France,France,46.2276,2.2137,2020-03-20,12612,450,12,12150,1741
27824,Guangdong,China,23.3417,113.4244,2020-03-20,1395,8,1323,64,17
27825,Henan,China,33.882,113.61399999999999,2020-03-20,1273,22,1250,1,0
27826,Zhejiang,China,29.1832,120.0934,2020-03-20,1234,1,1219,14,1
27827,Hunan,China,27.6104,111.7088,2020-03-20,1018,4,1014,0,0
27828,Anhui,China,31.8257,117.2264,2020-03-20,990,6,984,0,0
27829,Jiangxi,China,27.614,115.7221,2020-03-20,935,1,934,0,0
27830,Shandong,China,36.3427,118.1498,2020-03-20,762,7,748,7,1
27831,Diamond Princess,Cruise Ship,35.4437,139.638,2020-03-20,712,7,325,380,0
27832,Jiangsu,China,32.9711,119.455,2020-03-20,631,0,631,0,0
27833,Chongqing,China,30.0572,107.874,2020-03-20,576,6,570,0,0
27834,Sichuan,China,30.6171,102.7103,2020-03-20,541,3,536,2,1
27835,Heilongjiang,China,47.861999999999995,127.7615,2020-03-20,484,13,463,8,1
27836,Denmark,Denmark,56.2639,9.5018,2020-03-20,1255,9,1,1245,104
27837,Beijing,China,40.1824,116.4142,2020-03-20,491,8,390,93,11
27838,Shanghai,China,31.201999999999998,121.4491,2020-03-20,371,3,326,42,8
27839,Hebei,China,39.549,116.1306,2020-03-20,318,6,310,2,0
27840,Fujian,China,26.0789,117.9874,2020-03-20,299,1,295,3,3
27841,Guangxi,China,23.8298,108.7881,2020-03-20,254,2,250,2,1
27842,Shaanxi,China,35.1917,108.8701,2020-03-20,247,3,237,7,1
27843,Yunnan,China,24.974,101.48700000000001,2020-03-20,176,2,172,2,0
27844,Hainan,China,19.1959,109.7453,2020-03-20,168,6,161,1,0
27845,Guizhou,China,26.8154,106.8748,2020-03-20,146,2,144,0,0
27846,Tianjin,China,39.3054,117.323,2020-03-20,137,3,133,1,0
27847,Shanxi,China,37.5777,112.2922,2020-03-20,133,0,133,0,0
27848,Gansu,China,37.8099,101.0583,2020-03-20,134,2,98,34,0
27849,Hong Kong,China,22.3,114.2,2020-03-20,256,4,98,154,48
27850,Liaoning,China,41.2956,122.6085,2020-03-20,126,2,122,2,1
27851,Jilin,China,43.6661,126.1923,2020-03-20,93,1,92,0,0
27852,TBF,Czechia,49.8175,15.472999999999999,2020-03-20,833,0,4,829,139
27853,Xinjiang,China,41.1129,85.2401,2020-03-20,76,3,73,0,0
27854,Inner Mongolia,China,44.0935,113.9448,2020-03-20,75,1,74,0,0
27855,Ningxia,China,37.2692,106.1655,2020-03-20,75,0,75,0,0
27856,TBF,Taiwan*,23.7,121.0,2020-03-20,135,2,26,107,27
27857,Hanoi,Vietnam,16.0,108.0,2020-03-20,91,0,16,75,6
27858,Moscow,Russia,60.0,90.0,2020-03-20,253,1,9,243,54
27859,Qinghai,China,35.7452,95.9956,2020-03-20,18,0,18,0,0
27860,Macau,China,22.1667,113.55,2020-03-20,17,0,10,7,0
27861,Chisinau,Moldova,47.4116,28.3699,2020-03-20,66,1,1,64,17
27862,TBF,Bolivia,-16.2902,-63.5887,2020-03-20,15,0,0,15,3
27863,Faroe Islands,Denmark,61.8926,-6.9118,2020-03-20,80,0,0,80,8
27864,St Martin,France,18.0708,-63.0501,2020-03-20,4,0,0,4,0
27865,Tegucigalpa,Honduras,15.2,-86.2419,2020-03-20,24,0,0,24,12
27866,Channel Islands,United Kingdom,49.3723,-2.3644,2020-03-20,14,0,0,14,3
27867,New Brunswick,Canada,46.5653,-66.4619,2020-03-20,11,0,0,11,0
27868,Tibet,China,31.6927,88.0924,2020-03-20,1,0,1,0,0
27869,TBF,Congo (Kinshasa),-4.0383,21.7587,2020-03-20,18,0,0,18,4
27870,TBF,Cote d'Ivoire,7.54,-5.5471,2020-03-20,9,0,1,8,0
27871,Saint Barthelemy,France,17.9,-62.8333,2020-03-20,3,0,0,3,0
27872,Kingston,Jamaica,18.1096,-77.2975,2020-03-20,16,1,2,13,1
27873,Ankara,Turkey,38.9637,35.2433,2020-03-20,359,4,0,355,167
27874,Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-20,10,0,2,8,0
27875,"Kitsap, WA",US,47.6477,-122.6413,2020-03-20,0,0,0,0,0
27876,"Solano, CA",US,38.3105,-121.9018,2020-03-20,0,0,0,0,0
27877,"Santa Cruz, CA",US,37.0454,-121.958,2020-03-20,0,0,0,0,0
27878,"Napa, CA",US,38.5025,-122.2654,2020-03-20,0,0,0,0,0
27879,"Ventura, CA",US,34.3705,-119.1391,2020-03-20,0,0,0,0,0
27880,"Worcester, MA",US,42.4097,-71.8571,2020-03-20,0,0,0,0,0
27881,"Gwinnett, GA",US,33.9191,-84.0167,2020-03-20,0,0,0,0,0
27882,"DeKalb, GA",US,33.7956,-84.2279,2020-03-20,0,0,0,0,0
27883,"Floyd, GA",US,37.5455,-82.7779,2020-03-20,0,0,0,0,0
27884,"Fayette, GA",US,33.4502,-84.4803,2020-03-20,0,0,0,0,0
27885,"Gregg, TX",US,32.4893,-94.8521,2020-03-20,0,0,0,0,0
27886,"Monmouth, NJ",US,40.2589,-74.124,2020-03-20,0,0,0,0,0
27887,"Burlington, NJ",US,40.0712,-74.8649,2020-03-20,0,0,0,0,0
27888,"Camden, NJ",US,39.9259,-75.1196,2020-03-20,0,0,0,0,0
27889,"Passaic, NJ",US,40.8568,-74.1285,2020-03-20,0,0,0,0,0
27890,"Union, NJ",US,40.6976,-74.2632,2020-03-20,0,0,0,0,0
27891,"Eagle, CO",US,39.6553,-106.8287,2020-03-20,0,0,0,0,0
27892,"Larimer, CO",US,40.6956,-105.5943,2020-03-20,0,0,0,0,0
27893,"Arapahoe, CO",US,39.6203,-104.3326,2020-03-20,0,0,0,0,0
27894,"Gunnison, CO",US,38.5458,-106.9253,2020-03-20,0,0,0,0,0
27895,"Kane, IL",US,41.9879,-88.4016,2020-03-20,0,0,0,0,0
27896,"Monroe, PA",US,41.0458,-75.2479,2020-03-20,0,0,0,0,0
27897,"Philadelphia, PA",US,39.9526,-75.1652,2020-03-20,0,0,0,0,0
27898,"Norfolk, VA",US,36.8508,-76.2859,2020-03-20,0,0,0,0,0
27899,"Arlington, VA",US,38.8816,-77.09100000000001,2020-03-20,0,0,0,0,0
27900,"Spotsylvania, VA",US,38.2042,-77.6078,2020-03-20,0,0,0,0,0
27901,"Loudoun, VA",US,39.0768,-77.6536,2020-03-20,0,0,0,0,0
27902,"Prince George's, MD",US,38.7849,-76.8721,2020-03-20,0,0,0,0,0
27903,"Pottawattamie, IA",US,41.3912,-95.4778,2020-03-20,0,0,0,0,0
27904,"Camden, NC",US,34.2465,-80.607,2020-03-20,0,0,0,0,0
27905,"Pima, AZ",US,32.0575,-111.6661,2020-03-20,0,0,0,0,0
27906,"Noble, IN",US,41.4277,-85.355,2020-03-20,0,0,0,0,0
27907,"Adams, IN",US,39.8522,-77.2865,2020-03-20,0,0,0,0,0
27908,"Boone, IN",US,40.0106,-86.4997,2020-03-20,0,0,0,0,0
27909,"Dane, WI",US,43.0186,-89.5498,2020-03-20,0,0,0,0,0
27910,"Pierce, WI",US,44.7509,-92.3814,2020-03-20,0,0,0,0,0
27911,"Cuyahoga, OH",US,41.4339,-81.6758,2020-03-20,0,0,0,0,0
27912,"Weber, UT",US,41.2603,-111.9522,2020-03-20,0,0,0,0,0
27913,"Bennington County, VT",US,43.0279,-73.135,2020-03-20,0,0,0,0,0
27914,"Carver County, MN",US,44.8254,-93.7842,2020-03-20,0,0,0,0,0
