,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,Active
15744,Berlin,Germany,51.0,9.0,2020-03-25,37323.0,206.0,3547.0,33570.0
15745,Accra,Ghana,7.9465,-1.0232,2020-03-25,93.0,4.0,0.0,89.0
15746,Athens,Greece,39.0742,21.8243,2020-03-25,821.0,22.0,36.0,763.0
15747,Guatemala City,Guatemala,15.7835,-90.2308,2020-03-25,24.0,1.0,4.0,19.0
15748,Conakry,Guinea,9.9456,-9.6966,2020-03-25,4.0,0.0,0.0,4.0
15749,Georgetown,Guyana,5.0,-58.75,2020-03-25,5.0,1.0,0.0,4.0
15750,Port-au-Prince,Haiti,18.9712,-72.2852,2020-03-25,8.0,0.0,0.0,8.0
15751,TBF,Holy See,41.9029,12.4534,2020-03-25,4.0,0.0,0.0,4.0
15752,Tegucigalpa,Honduras,15.2,-86.2419,2020-03-25,36.0,0.0,0.0,36.0
15753,Budapest,Hungary,47.1625,19.5033,2020-03-25,226.0,10.0,21.0,195.0
15754,Reykjavík,Iceland,64.9631,-19.0208,2020-03-25,737.0,2.0,56.0,679.0
15755,New Delhi,India,21.0,78.0,2020-03-25,657.0,12.0,43.0,602.0
15756,Jakarta,Indonesia,-0.7893,113.9213,2020-03-25,790.0,58.0,31.0,701.0
15757,Tehran,Iran,32.0,53.0,2020-03-25,27017.0,2077.0,9625.0,15315.0
15758,Baghdad,Iraq,33.0,44.0,2020-03-25,346.0,29.0,103.0,214.0
15759,Dublin,Ireland,53.1424,-7.6921,2020-03-25,1564.0,9.0,5.0,1550.0
15760,Jerusalem,Israel,31.0,35.0,2020-03-25,2369.0,5.0,58.0,2306.0
15761,Rome,Italy,43.0,12.0,2020-03-25,74386.0,7503.0,9362.0,57521.0
15762,Kingston,Jamaica,18.1096,-77.2975,2020-03-25,26.0,1.0,2.0,23.0
15763,Tokyo,Japan,36.0,138.0,2020-03-25,1307.0,45.0,310.0,952.0
15764,Amman,Jordan,31.24,36.51,2020-03-25,172.0,0.0,1.0,171.0
15765,Astana,Kazakhstan,48.0196,66.9237,2020-03-25,81.0,0.0,0.0,81.0
15766,Nairobi,Kenya,-0.0236,37.9062,2020-03-25,28.0,0.0,1.0,27.0
15767,TBF,"Korea, South",36.0,128.0,2020-03-25,9137.0,126.0,3730.0,5281.0
15768,Kuwait City,Kuwait,29.5,47.75,2020-03-25,195.0,0.0,43.0,152.0
15769,Bishkek,Kyrgyzstan,41.2044,74.7661,2020-03-25,44.0,0.0,0.0,44.0
15770,Riga,Latvia,56.8796,24.6032,2020-03-25,221.0,0.0,1.0,220.0
15771,Beirut,Lebanon,33.8547,35.8623,2020-03-25,333.0,6.0,20.0,307.0
15772,Monrovia,Liberia,6.4281,-9.4295,2020-03-25,3.0,0.0,0.0,3.0
15773,Vaduz,Liechtenstein,47.14,9.55,2020-03-25,51.0,0.0,0.0,51.0
15774,Vilnius,Lithuania,55.1694,23.8813,2020-03-25,274.0,4.0,1.0,269.0
15775,Luxembourg,Luxembourg,49.8153,6.1296,2020-03-25,1333.0,8.0,6.0,1319.0
15776,Antananarivo,Madagascar,-18.7669,46.8691,2020-03-25,19.0,0.0,0.0,19.0
15777,Kuala Lumpur,Malaysia,2.5,112.5,2020-03-25,1796.0,20.0,199.0,1577.0
15778,Malé,Maldives,3.2028,73.2207,2020-03-25,13.0,0.0,8.0,5.0
15779,Valletta,Malta,35.9375,14.3754,2020-03-25,129.0,0.0,2.0,127.0
15780,Nouakchott,Mauritania,21.0079,10.9408,2020-03-25,2.0,0.0,0.0,2.0
15781,Port Louis,Mauritius,-20.2,57.5,2020-03-25,48.0,2.0,0.0,46.0
15782,Mexico City,Mexico,23.6345,-102.5528,2020-03-25,405.0,5.0,4.0,396.0
15783,Chisinau,Moldova,47.4116,28.3699,2020-03-25,149.0,1.0,2.0,146.0
15784,Monaco,Monaco,43.7333,7.4167,2020-03-25,31.0,0.0,1.0,30.0
15785,Ulaanbaatar,Mongolia,46.8625,103.8467,2020-03-25,10.0,0.0,0.0,10.0
15786,Podgorica,Montenegro,42.5,19.3,2020-03-25,52.0,1.0,0.0,51.0
15787,Rabat,Morocco,31.7917,-7.0926,2020-03-25,225.0,6.0,7.0,212.0
15788,Windhoek,Namibia,-22.9576,18.4904,2020-03-25,7.0,0.0,2.0,5.0
15789,Kathmandu,Nepal,28.1667,84.25,2020-03-25,3.0,0.0,1.0,2.0
15790,Aruba,Netherlands,12.5186,-70.0358,2020-03-25,17.0,0.0,1.0,16.0
15791,Curacao,Netherlands,12.1696,-68.99,2020-03-25,6.0,1.0,0.0,5.0
15792,Sint Maarten,Netherlands,18.0425,-63.0548,2020-03-25,3.0,0.0,0.0,3.0
15793,Amsterdam,Netherlands,52.1326,5.2913,2020-03-25,6412.0,356.0,3.0,6053.0
15794,Wellington,New Zealand,-40.9006,174.886,2020-03-25,205.0,0.0,22.0,183.0
15795,Managua,Nicaragua,12.8654,-85.2072,2020-03-25,2.0,0.0,0.0,2.0
15796,Niamey,Niger,17.6078,8.0817,2020-03-25,7.0,1.0,0.0,6.0
15797,Abuja,Nigeria,9.082,8.6753,2020-03-25,51.0,1.0,2.0,48.0
15798,TBF,North Macedonia,41.6086,21.7453,2020-03-25,177.0,3.0,1.0,173.0
15799,Oslo,Norway,60.472,8.4689,2020-03-25,3084.0,14.0,6.0,3064.0
15800,Muscat,Oman,21.0,57.0,2020-03-25,99.0,0.0,17.0,82.0
15801,Islamabad,Pakistan,30.3753,69.3451,2020-03-25,1063.0,8.0,21.0,1034.0
15802,Panama City,Panama,8.538,-80.7821,2020-03-25,443.0,8.0,1.0,434.0
15803,Port Moresby,Papua New Guinea,-6.315,143.9555,2020-03-25,1.0,0.0,0.0,1.0
15804,Asunción,Paraguay,-23.4425,-58.4438,2020-03-25,37.0,3.0,0.0,34.0
15805,Lima,Peru,-9.19,-75.0152,2020-03-25,480.0,9.0,1.0,470.0
15806,Manila,Philippines,13.0,122.0,2020-03-25,636.0,38.0,26.0,572.0
15807,Warsaw,Poland,51.9194,19.1451,2020-03-25,1051.0,14.0,7.0,1030.0
15808,Lisbon,Portugal,39.3999,-8.2245,2020-03-25,2995.0,43.0,22.0,2930.0
15809,Doha,Qatar,25.3548,51.1839,2020-03-25,537.0,0.0,41.0,496.0
15810,Bucharest,Romania,45.9432,24.9668,2020-03-25,906.0,17.0,86.0,803.0
15811,Moscow,Russia,60.0,90.0,2020-03-25,658.0,3.0,29.0,626.0
15812,Kigali,Rwanda,-1.9403,29.8739,2020-03-25,41.0,0.0,0.0,41.0
15813,Castries,Saint Lucia,13.9094,-60.9789,2020-03-25,3.0,0.0,0.0,3.0
15814,Kingstown,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-03-25,1.0,0.0,0.0,1.0
15815,San Marino,San Marino,43.9424,12.4578,2020-03-25,208.0,21.0,4.0,183.0
15816,Riyadh,Saudi Arabia,24.0,45.0,2020-03-25,900.0,2.0,29.0,869.0
15817,Dakar,Senegal,14.4974,-14.4524,2020-03-25,99.0,0.0,9.0,90.0
15818,Belgrade,Serbia,44.0165,21.0059,2020-03-25,384.0,4.0,15.0,365.0
15819,Victoria,Seychelles,-4.6796,55.492,2020-03-25,7.0,0.0,0.0,7.0
15820,Singapore,Singapore,1.2833,103.8333,2020-03-25,631.0,2.0,160.0,469.0
15821,Bratislava,Slovakia,48.669,19.699,2020-03-25,216.0,0.0,7.0,209.0
15822,Ljubljana,Slovenia,46.1512,14.9955,2020-03-25,528.0,5.0,10.0,513.0
15823,Mogadishu,Somalia,5.1521,46.1996,2020-03-25,1.0,0.0,0.0,1.0
15824,Pretoria,South Africa,-30.5595,22.9375,2020-03-25,709.0,0.0,12.0,697.0
15825,Madrid,Spain,40.0,-4.0,2020-03-25,49515.0,3647.0,5367.0,40501.0
15826,Sri Jayawardenapura Kotte,Sri Lanka,7.0,81.0,2020-03-25,102.0,0.0,3.0,99.0
15827,Khartoum,Sudan,12.8628,30.2176,2020-03-25,3.0,1.0,0.0,2.0
15828,Paramaribo,Suriname,3.9193,-56.0278,2020-03-25,8.0,0.0,0.0,8.0
15829,Stockholm,Sweden,63.0,16.0,2020-03-25,2526.0,62.0,16.0,2448.0
15830,Bern,Switzerland,46.8182,8.2275,2020-03-25,10897.0,153.0,131.0,10613.0
15831,TBF,Taiwan*,23.7,121.0,2020-03-25,235.0,2.0,29.0,204.0
15832,Dodoma,Tanzania,-6.369,34.8888,2020-03-25,12.0,0.0,0.0,12.0
15833,Bangkok,Thailand,15.0,101.0,2020-03-25,934.0,4.0,70.0,860.0
15834,Lomé,Togo,8.6195,0.8248,2020-03-25,23.0,0.0,1.0,22.0
15835,Port of Spain,Trinidad and Tobago,10.6918,-61.2225,2020-03-25,60.0,1.0,0.0,59.0
15836,Tunis,Tunisia,34.0,9.0,2020-03-25,173.0,5.0,2.0,166.0
15837,Ankara,Turkey,38.9637,35.2433,2020-03-25,2433.0,59.0,26.0,2348.0
15838,Kampala,Uganda,1.0,32.0,2020-03-25,14.0,0.0,0.0,14.0
15839,Kiev,Ukraine,48.3794,31.1656,2020-03-25,145.0,5.0,1.0,139.0
